idx,chain,chip,bit,blob_n,cx_pct,cy_pct,area
406,2,1,6,0,0.25,53.72,20
407,2,1,7,0,0.31,52.56,24
407,2,1,7,1,0.0,55.45,16
409,2,1,9,0,0.45,49.45,28
410,2,1,10,0,89.82,49.05,2468
410,2,1,10,1,0.38,50.13,20
411,2,1,11,0,88.13,48.82,584
412,2,1,12,0,88.17,49.04,576
413,2,1,13,0,87.11,44.48,328
413,2,1,13,1,89.79,54.77,248
413,2,1,13,2,0.47,49.52,16
414,2,1,14,0,88.62,48.75,584
415,2,1,15,0,91.36,54.26,380
415,2,1,15,1,87.31,44.43,332
416,2,2,0,0,90.02,50.36,1232
417,2,2,1,0,89.86,49.03,2428
418,2,2,2,0,0.0,54.81,32
419,2,2,3,0,0.94,49.04,16
420,2,2,4,0,0.38,49.23,20
421,2,2,5,0,0.0,55.45,24
422,2,2,6,0,0.87,47.56,20
424,2,2,8,0,0.0,55.13,28
425,2,2,9,0,90.3,71.44,2264
425,2,2,9,1,1.09,44.87,16
425,2,2,9,2,0.31,53.53,16
426,2,2,10,0,88.52,70.7,496
426,2,2,10,1,0.21,54.91,36
427,2,2,11,0,88.48,70.73,508
427,2,2,11,1,0.0,55.45,16
428,2,2,12,0,88.46,70.72,504
428,2,2,12,1,0.19,54.83,52
429,2,2,13,0,90.17,71.52,2064
429,2,2,13,1,0.0,54.49,20
430,2,2,14,0,85.89,71.55,1128
430,2,2,14,1,95.63,71.58,984
430,2,2,14,2,0.0,55.45,24
431,2,2,15,0,0.21,56.73,24
431,2,2,15,1,0.38,51.41,20
435,2,3,3,0,0.38,50.51,20
438,2,3,6,0,90.75,83.22,1976
439,2,3,7,0,90.56,83.34,2252
440,2,3,8,0,90.57,83.36,2244
440,2,3,8,1,91.59,96.69,148
440,2,3,8,2,0.47,49.36,16
441,2,3,9,0,90.85,94.27,1916
441,2,3,9,1,0.09,54.58,28
441,2,3,9,2,0.42,50.32,24
442,2,3,10,0,90.83,94.28,1920
442,2,3,10,1,0.0,56.09,16
